stratum,phase,window_tokens,uniform_expected_unique_experts,observed_unique_mean,observed_unique_median,observed_unique_min,observed_unique_max,observed_over_uniform_mean,effective_expert_count_mean,top128_concentration_mean,top16_concentration_mean,top256_concentration_mean,top32_concentration_mean,top64_concentration_mean
chat_en,all,32,239.63571484583883,105.54851616753473,104.0,33.0,233.0,0.44045402929791005,72.18952727824636,0.9909407297770182,0.47434378729926213,1.0,0.6654955122205947,0.8610364702012804
chat_en,all,64,367.11268783684136,152.34275987413196,151.0,43.0,312.0,0.4149754691721218,94.30070997936052,0.9534033669365777,0.42263753679063587,0.9998453352186415,0.5992002487182617,0.7918600930107964
chat_en,all,128,470.99934916823327,206.56788465711804,206.0,58.0,388.0,0.43857360954300467,116.26573266562193,0.9117624176873101,0.38466383616129557,0.9978780428568522,0.5492367532518175,0.7365366088019477
chat_en,all,256,508.71669263939754,268.82062446898897,270.0,78.0,432.0,0.5284289435722168,139.057225434424,0.869279745745274,0.3535290662170773,0.9890929155935818,0.506198060482158,0.6861030053565739
chat_en,all,512,511.97894510307776,333.0874294704861,334.0,153.0,447.0,0.6505881397201304,161.77416997782498,0.8297222190433078,0.32739910549587675,0.9731950759887695,0.47121620178222656,0.6441957791646321
chat_en,all,1024,511.99999913416275,347.484375,344.0,251.0,467.0,0.6786804210695836,133.41218428995532,0.8912052790323893,0.3543019612630208,0.9836087544759115,0.5301955858866374,0.7264406840006511
code,prefill,1,10.0,10.0,10.0,10.0,10.0,1.0,9.999999999999998,1.0,1.0,1.0,1.0,1.0
code,prefill,2,19.8046875,16.560045030381943,17.0,10.0,20.0,0.8361679541968003,15.958145873083822,1.0,0.9364447699652778,1.0,1.0,1.0
code,prefill,4,38.84330928325653,27.072523328993057,27.0,12.0,40.0,0.6969674785320804,24.437232926171124,1.0,0.7229482014973958,1.0,0.9892544216579862,1.0
code,prefill,8,74.7397383398046,43.555989583333336,43.0,15.0,79.0,0.5827688262073625,36.05338986778537,1.0,0.6328854031032987,1.0,0.8508682250976562,0.9984958224826389
code,prefill,16,138.56926479073724,68.73975965711806,68.0,23.0,145.0,0.4960678672931302,51.34264488842678,0.9999378628200954,0.5508450826009115,1.0,0.7576137118869357,0.9446258544921875
code,prefill,32,239.63571484583883,103.8602317232376,102.0,30.0,231.0,0.43340881717089796,69.31318838402919,0.9920906086814621,0.49083624857212793,1.0,0.6791098492575065,0.8680082714588773
code,prefill,64,367.11268783684136,153.85388010087115,150.0,56.0,314.0,0.41909169908409594,92.08431721660496,0.9517464394199908,0.43922382758768913,0.9996883373094337,0.6098899005258482,0.7942232589336887
code,prefill,128,470.99934916823327,215.5792241946088,214.0,85.0,374.0,0.4577059916862166,116.5867182269075,0.9018288717075525,0.39891537999260357,0.9964702498356345,0.5552169689451841,0.7315117489264875
code,prefill,256,508.71669263939754,270.86825396825395,269.0,129.0,412.0,0.5324540316593429,130.13519765547886,0.8743723648313492,0.3864325241815476,0.9884027390252976,0.5350641353546627,0.7041236901661706
code,decode,1,10.0,10.0,10.0,10.0,10.0,1.0,9.999999999999998,1.0,1.0,1.0,1.0,1.0
code,decode,2,19.8046875,16.747762044270832,17.0,10.0,20.0,0.8456463675213675,16.1737818496217,1.0,0.9292310926649305,1.0,1.0,1.0
code,decode,4,38.84330928325653,27.984171549479168,28.0,11.0,40.0,0.7204373691595269,25.486956693514745,1.0,0.7000895182291667,1.0,0.9832329644097222,1.0
code,decode,8,74.7397383398046,45.31553819444444,45.0,16.0,80.0,0.6063111699484031,38.12547905314718,1.0,0.609637451171875,1.0,0.8286983913845486,0.9987809922960069
